ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
1999-04-01,7008.8,26344.0,0.0,0.0,44322,2808,810660.7,0.0,1638140.4,8.90682470984261
1999-05-01,7649.7,31941.9,0.0,0.0,48131,3120,818310.4,0.0,1670082.3,9.14421869649582
1999-06-01,5943.3,30925.3,0.0,0.0,46413,2880,824253.7,0.0,1701007.6,22.30675712773049
1999-07-01,7181.6,28384.1,0.0,0.0,49837,3480,831435.3,0.0,1729391.7,20.835226221122948
1999-09-01,9691.5,26768.7,0.0,0.0,46597,3600,850959.8,0.0,1782642.3,1.4390318315875117
1999-10-01,9398.0,23810.2,0.0,0.0,47169,3696,860357.8,0.0,1806452.5,3.028426972088949
1999-11-01,10189.8,18679.2,0.0,0.0,45338,2864,870547.6,0.0,1825131.7,8.42519685039369
1999-12-01,10925.2,17849.9,0.0,0.0,47921,2976,881472.8,0.0,1842981.6,7.217020942511154
2000-01-01,10893.7,18441.5,0.0,0.0,50724,2976,892366.5,0.0,1861423.1,0.2883242412038189
1999-02-01,5934.1,21406.3,0.0,0.0,39334,2688,795957.8,0.0,1588746.5,3.8248974895058407
2000-02-01,9832.9,17221.3,0.0,0.0,46190,2688,902199.4,0.0,1878644.4,9.737738325821354
1998-01-01,8935.0,27336.9,0.0,0.0,37473,2976,705595.6,0.0,1252670.8,0.3135076033961459
1997-11-01,7070.0,26763.1,0.0,0.0,41944,2880,687697.5,0.0,1197609.4,10.108073744437384
1995-08-01,6472.0,8530.4,0.0,0.0,22893,2232,487091.9,0.0,704599.4,11.487964989059083
1995-09-01,6742.0,9567.5,0.0,0.0,22689,2160,493833.9,0.0,714166.9,4.1718170580964165
1995-10-01,6819.0,9996.2,0.0,0.0,24978,2232,500652.9,0.0,724163.1,1.1420943340255008
